InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
INV500000,SC25795,CHRISTMAS GINGHAM STAR,3,2022-09-16 06:19:22.312462,0.88,C1384,United Kingdom,2.64
INV500001,SC10860,RECYCLED ACAPULCO MAT,9,2023-09-05 11:34:47.697539,8.17,C1117,United Kingdom,73.53
INV500002,SC86820,CHILDRENS CUTLERY DOLLY GIRL,12,2023-02-01 19:13:40.244048,0.75,C1497,United Kingdom,9.0
INV500003,SC64886,BLUE POLKADOT MADELEINE GIFT BAG,10,2022-04-28 12:55:09.781956,4.0,C1395,United Kingdom,40.0
INV500004,SC16265,CERAMIC STAR XMAS DECORATION,2,2022-06-05 03:53:36.883376,1.27,C1418,United Kingdom,2.54
INV500005,SC92386,PARTY BUNTING,11,2022-05-10 11:54:40.256051,0.61,C1371,Australia,6.71
INV500006,SC47194,STRAWBERRY CERAMIC TRINKET BOX,10,2023-03-03 06:12:27.509501,0.68,C1461,USA,6.800000000000001
INV500007,SC97498,PACK OF 72 RETROSPOT CAKE CASES,6,2022-02-16 15:58:04.776955,1.9,C1495,United Kingdom,11.399999999999999
INV500008,SC54131,NOTEBOOK A7 IVORY,18,2023-08-01 01:06:15.195039,0.74,C1081,United Kingdom,13.32
INV500009,SC70263,STRAWBERRY LUNCH BOX WITH CUTLERY,2,2022-12-14 08:45:42.308461,3.22,C1457,United Kingdom,6.44
INV500010,SC26023,LARGE LETTER BOX KINGS ROAD,2,2023-04-17 04:10:36.607321,3.63,C1246,United Kingdom,7.26
INV500011,SC51090,CHILDRENS CUTLERY DOLLY GIRL,10,2022-12-04 00:16:07.873574,1.9,C1462,United Kingdom,19.0
INV500012,SC77221,STRAWBERRY CERAMIC TRINKET BOX,16,2023-06-10 03:08:23.380676,4.57,C1233,United Kingdom,73.12
INV500013,SC74820,BROCADE RING PURSE,12,2022-08-07 17:50:59.891978,2.52,C1416,Germany,30.240000000000002
INV500014,SC10769,DOORSTOP UNION JACK,1,2022-08-17 15:50:35.407081,2.19,C1466,Germany,2.19
INV500015,SC69735,LARGE CHINESE STYLE BOWL,8,2023-04-24 11:10:18.603720,2.07,C1481,United Kingdom,16.56
INV500016,SC72955,WHITE HANGING HEART T-LIGHT HOLDER,16,2022-08-10 12:20:53.050610,2.19,C1364,United Kingdom,35.04
INV500017,SC74925,HEART OF WICKER SMALL,18,2022-10-07 16:48:29.381876,10.82,C1152,France,194.76
INV500018,SC77969,STRAWBERRY CERAMIC TRINKET BOX,13,2023-08-20 07:05:27.665533,3.93,C1271,Belgium,51.09
INV500019,SC15311,BROCADE RING PURSE,15,2022-09-29 23:18:48.465693,1.64,C1391,United Kingdom,24.599999999999998
INV500020,SC93104,PLASTERS IN TIN SKULL,12,2022-07-24 21:21:34.098819,4.47,C1034,United Kingdom,53.64
INV500021,SC63707,VINTAGE UNION JACK MEMOBOARD,8,2023-02-02 02:13:39.523904,1.7,C1212,United Kingdom,13.6
INV500022,SC95305,STRAWBERRY LUNCH BOX WITH CUTLERY,10,2022-01-01 13:59:58.559711,0.9,C1210,United Kingdom,9.0
INV500023,SC38693,BAG 250g SWIRLY MARBLES,14,2022-06-20 07:52:59.435887,2.44,C1429,United Kingdom,34.16
INV500024,SC81932,PACK OF 72 RETROSPOT CAKE CASES,5,2022-12-16 16:45:36.547309,4.67,C1138,United Kingdom,23.35
INV500025,SC35658,MEDIUM CERAMIC TOP STORAGE JAR,18,2023-01-19 12:44:13.010602,1.92,C1188,United Kingdom,34.56
